sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Sistemas de tuberías de polipropileno para unión por interfusión. Tubos de polipropileno para el transporte de líquidos a presión. Medidas y presiones nominales";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2006";"";"";"";"IRAM 13470";"23.040.20";"Tubos; Tuberías; Materiales plásticos; Polipropileno; Uniones; Interfusión; Transporte; Líquidos a presión; Dimensiones; Agua potable";""
"Instalaciones fijas contra incendio. Tanques de agua";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1986";"";"";"";"IRAM 3529";"13.220.20";"Fuego; Incendios; Extinción; Instalaciones fijas; Tanques de agua";""
"Instalaciones fijas contra incendio. Sistemas de rociadores automáticos de agua. Prescripciones generales";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1987";"";"";"";"IRAM 3555-1";"13.220.20";"Fuego; Incendios; Extinción; Instalaciones fijas; Alarmas; Detección; Detectores; Rociadores automáticos; Requisitos";""
"Instalaciones fijas contra incendio. Sistemas de rociadores automáticos de agua. Componentes";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1990";"";"";"";"IRAM 3555-2";"13.220.20";"Fuego; Incendios; Extinción; Instalaciones fijas; Alarmas; Detección; Detectores; Rociadores automáticos; Requisitos; Componentes";""
"Instalaciones fijas contra incendio. Sistemas de rociadores automáticos de agua. Ubicación de los rociadores";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1993";"";"";"";"IRAM 3555-3";"13.220.20";"Fuego; Incendios; Extinción; Instalaciones fijas; Alarmas; Detección; Detectores; Rociadores automáticos; Requisitos; Ubicación";""
"Instalaciones fijas contra incendio. Sistemas de rociadores automáticos de agua. Inspección, ensayo y mantenimiento";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1996";"";"";"";"IRAM 3555-9";"13.220.20";"Fuego; Incendios; Extinción; Instalaciones fijas; Alarmas; Detección; Detectores; Rociadores automáticos; Inspección; Ensayos; Mantenimiento";""
"Instalaciones fijas contra incendio. Rociadores automáticos";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1991";"";"";"";"IRAM 3596";"13.220.20";"Fuego; Incendios; Extinción; Instalaciones fijas; Alarmas; Detección; Detectores; Rociadores automáticos; Requisitos";""
"Instalaciones fijas contra incendio. Sistemas de hidrantes";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1989";"";"";"";"IRAM 3597";"13.220.20";"Fuego; Incendios; Extinción; Instalaciones fijas; Sistemas de hidrantes; Requisitos";""
"Mezclas adhesivas para la colocación de revestimientos cerámicos, calcáreos, graníticos y pétreos. Determinación de la capacidad de humectación";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2006";"";"";"";"IRAM 45070";"91.100.10";"Mezclas adhesivas; Absorción de agua; Métodos de determinación; Revestimientos cerámicos; Revestimientos graníticos; Revestimientos calcáreos; Revestimientos pétreos";""
"Etiquetado de eficiencia energética para acondicionadores de aire";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2007";"";"";"";"IRAM 62406";"23.120";"Eficiencia energértica; Etiquetado; Acondicionadores de aire";""
